standard,t,s[t],Pb74_0,s[Pb74_0],mineral,reference
Plesovice,337.13,0.18,15.6022,0,zircon,Slama et al. (2008)
Qinghu,159.5,0.1,15.61801,0,zircon,Li et al. (2013)
Penglai,4.4,0.05,15.62972,0,zircon,Li et al. (2010)
Temora,416.75,0.12,15.59416,0,zircon,Black et al. (2003)
_91500,1066.01,0.305,15.49877,0,zircon,Wiedenbeck et al. (2004)
_44069,424.9,0.2,15.59331,0,monazite,Aleinikoff et al. (2006)
NIST610,5103.635,1,0.04608359,0,glass,Baker et al. (2004)
BCR2G,4978.253,1,0.04608212,0,glass,Woodhead and Hergt (2007)
T1G,4985.806,1,0.0460822,0,glass,Jochum et al. (2005)
KL2G,4958.767,1,0.0460819,0,glass,Jochum et al. (2005)
